zone,state,n_households,n_psu,weighted_population,mean_household_size
4. South East,1. Abia,243,35,4254853.618358143,3.7384436455064947
5. South South,10. Delta,146,28,5737314,4.4255490999551474
4. South East,11. Ebonyi,108,13,3347679.7669383064,5.576309164128805
5. South South,12. Edo,155,25,4909397.141286605,4.917748325303999
6. South West,13. Ekiti,127,21,3666447.2437559464,3.8986680991257767
4. South East,14. Enugu,165,25,4832562.798374532,3.48926508810381
2. North East,15. Gombe,133,17,4058199,6.655756916599793
4. South East,16. Imo,157,24,5417814.218831354,3.956260930535226
3. North West,17. Jigawa,109,14,7687056,8.610840754273037
3. North West,18. Kaduna,215,33,9223209.794058561,6.748678359174849
3. North West,19. Kano,149,20,15671491,8.990900376611378
2. North East,2. Adamawa,234,33,5020440.170036464,6.591654905503756
3. North West,20. Katsina,125,16,10687700.205941439,7.746732845900044
3. North West,21. Kebbi,64,7,5711801,8.497632897829687
1. North Central,22. Kogi,97,15,4559246.022270805,6.003187759966937
1. North Central,23. Kwara,186,27,3649750.773413023,4.734705600107305
6. South West,24. Lagos,197,39,13657385.66273152,4.436980830230901
1. North Central,25. Nasarawa,24,5,2948849,7.3731949311571805
1. North Central,26. Niger,143,19,6965970,5.872831666781131
6. South West,27. Ogun,135,27,6488009.422407125,3.3927139000024584
6. South West,28. Ondo,75,15,5336056.184456498,4.110241486733776
6. South West,29. Osun,76,15,4494970,4.626568369097615
5. South South,3. Akwa Ibom,201,35,5044286,4.314683377071897
6. South West,30. Oyo,138,29,8127483,3.5539030475022635
1. North Central,31. Plateau,84,11,4807502,5.855834960787317
5. South South,32. Rivers,102,19,7681920.5141495215,4.40663607266948
3. North West,33. Sokoto,59,6,6501264.999682187,7.538382708244827
2. North East,34. Taraba,107,15,3689513,6.676974552689233
2. North East,35. Yobe,69,8,3585594.6103193723,7.633141084912901
3. North West,36. Zamfara,54,7,5990131,8.261195066059951
1. North Central,37. FCT,112,16,3169587.9777291943,6.075484370151175
4. South East,4. Anambra,118,22,6112002.48526096,4.355180524124476
2. North East,5. Bauchi,225,24,8529872,8.108663628254828
5. South South,6. Bayelsa,75,14,2583352,4.8683820273230936
1. North Central,7. Benue,163,20,6259867,5.029375723295694
2. North East,8. Borno,46,7,6350584.389680628,8.4993679470667
5. South South,9. Cross River,99,18,4490963,3.8476265824081706
